,LSOA11CD,name,total,geometry,id,lon,lat
18,E01000020,Barking and Dagenham 023B,1882,POINT (0.1247100622330758 51.55626040386155),18,0.12471006223307575,51.55626040386155
19,E01000021,Barking and Dagenham 008A,1753,POINT (0.116031247270316 51.55445332170581),19,0.11603124727031598,51.55445332170581
20,E01000022,Barking and Dagenham 008B,1443,POINT (0.1210749777463477 51.554029640216974),20,0.12107497774634766,51.554029640216974
21,E01000023,Barking and Dagenham 008C,3859,POINT (0.1111219121631476 51.55113644915028),21,0.11112191216314762,51.55113644915028
22,E01000024,Barking and Dagenham 008D,1535,POINT (0.1207487813019671 51.55119566712718),22,0.12074878130196708,51.55119566712718
23,E01000025,Barking and Dagenham 008E,1674,POINT (0.117954910639716 51.54937673257796),23,0.11795491063971605,51.54937673257796
24,E01000027,Barking and Dagenham 001A,1829,POINT (0.14190425538258 51.590879474267545),24,0.14190425538257995,51.590879474267545
25,E01000028,Barking and Dagenham 001B,1698,POINT (0.1294781549846359 51.58510349344755),25,0.12947815498463594,51.58510349344755
26,E01000029,Barking and Dagenham 001C,1804,POINT (0.1342586272224678 51.580298869228955),26,0.1342586272224678,51.580298869228955
27,E01000030,Barking and Dagenham 001D,2395,POINT (0.1366195791270855 51.58340109502213),27,0.13661957912708553,51.58340109502213
28,E01000031,Barking and Dagenham 002A,1777,POINT (0.1439992064991617 51.580310707049975),28,0.14399920649916167,51.580310707049975
29,E01000032,Barking and Dagenham 002B,1960,POINT (0.1339212447954639 51.574646395541855),29,0.1339212447954639,51.574646395541855
30,E01000033,Barking and Dagenham 006A,1583,POINT (0.1628563343514645 51.55488733964277),30,0.16285633435146446,51.55488733964277
31,E01000034,Barking and Dagenham 003A,1634,POINT (0.1714893447865279 51.55712709406805),31,0.17148934478652791,51.55712709406805
32,E01000035,Barking and Dagenham 010A,1855,POINT (0.162851231771146 51.54965491806261),32,0.162851231771146,51.54965491806261
33,E01000036,Barking and Dagenham 010B,1473,POINT (0.1680684574940459 51.54619611452083),33,0.1680684574940459,51.54619611452083
34,E01000037,Barking and Dagenham 003B,1871,POINT (0.1795082094730015 51.562526003672744),34,0.17950820947300153,51.562526003672744
35,E01000038,Barking and Dagenham 003C,1422,POINT (0.173043628845964 51.563161932211585),35,0.173043628845964,51.563161932211585
36,E01000039,Barking and Dagenham 003D,1719,POINT (0.178739932040039 51.552751855957844),36,0.178739932040039,51.552751855957844
37,E01000040,Barking and Dagenham 019A,1802,POINT (0.0974395619924967 51.53662617567111),37,0.09743956199249668,51.53662617567111
38,E01000041,Barking and Dagenham 017A,1810,POINT (0.1160832210527012 51.53814675243232),38,0.11608322105270118,51.53814675243232
39,E01000042,Barking and Dagenham 017B,2023,POINT (0.1067573757223154 51.537277800924926),39,0.1067573757223154,51.537277800924926
40,E01000043,Barking and Dagenham 019B,1532,POINT (0.100013754072824 51.53388720098318),40,0.10001375407282398,51.53388720098318
41,E01000044,Barking and Dagenham 016D,2056,POINT (0.090271915104007 51.53602773889294),41,0.09027191510400695,51.53602773889294
42,E01000045,Barking and Dagenham 017C,1804,POINT (0.110588359167168 51.534654869675215),42,0.11058835916716801,51.534654869675215
43,E01000046,Barking and Dagenham 017D,1935,POINT (0.1199193741735855 51.53655265165891),43,0.11991937417358553,51.53655265165891
44,E01000048,Barking and Dagenham 021B,878,POINT (0.0836225219768274 51.531640963332514),44,0.08362252197682735,51.531640963332514
45,E01000049,Barking and Dagenham 021C,1813,POINT (0.0863192770474486 51.530452288378385),45,0.08631927704744857,51.530452288378385
46,E01000050,Barking and Dagenham 019C,1974,POINT (0.0859421948955112 51.53450516122164),46,0.0859421948955112,51.53450516122164
47,E01000051,Barking and Dagenham 021D,1021,POINT (0.0823058131370171 51.534287207234),47,0.08230581313701708,51.534287207234
48,E01000052,Barking and Dagenham 019D,2306,POINT (0.0931053856425327 51.53224916169929),48,0.09310538564253268,51.53224916169929
49,E01000053,Barking and Dagenham 020A,1627,POINT (0.1438486868157101 51.532735748161095),49,0.14384868681571011,51.532735748161095
50,E01000054,Barking and Dagenham 018A,1955,POINT (0.1324053351209386 51.53668595597351),50,0.13240533512093855,51.53668595597351
51,E01000055,Barking and Dagenham 018B,1709,POINT (0.126260892456137 51.53585488637825),51,0.12626089245613695,51.53585488637825
52,E01000056,Barking and Dagenham 018C,1661,POINT (0.1371132684839042 51.53414795730159),52,0.13711326848390423,51.53414795730159
53,E01000057,Barking and Dagenham 012A,1555,POINT (0.1266444961313276 51.53808135077844),53,0.12664449613132756,51.53808135077844
54,E01000058,Barking and Dagenham 018D,2027,POINT (0.1360070229917351 51.53958713863779),54,0.13600702299173514,51.53958713863779
55,E01000059,Barking and Dagenham 013C,1656,POINT (0.1417426454074662 51.53636426125234),55,0.14174264540746617,51.53636426125234
56,E01000060,Barking and Dagenham 006B,1971,POINT (0.1572998275875011 51.55811461168814),56,0.15729982758750113,51.55811461168814
57,E01000061,Barking and Dagenham 006C,1872,POINT (0.1579628954607528 51.561982747383254),57,0.15796289546075284,51.561982747383254
58,E01000062,Barking and Dagenham 006D,2435,POINT (0.1521039336030686 51.55378994613369),58,0.1521039336030686,51.55378994613369
59,E01000063,Barking and Dagenham 004A,1835,POINT (0.1456522153486348 51.556086115416306),59,0.14565221534863476,51.556086115416306
60,E01000064,Barking and Dagenham 006E,2215,POINT (0.1574403109467922 51.55355221354069),60,0.15744031094679217,51.55355221354069
61,E01000065,Barking and Dagenham 007A,1781,POINT (0.1436320340568613 51.55261156631435),61,0.14363203405686129,51.55261156631435
62,E01000066,Barking and Dagenham 011A,2264,POINT (0.1059071488885787 51.5463197266493),62,0.1059071488885787,51.5463197266493
63,E01000067,Barking and Dagenham 011B,2304,POINT (0.1009522668298382 51.54709783473686),63,0.10095226682983825,51.54709783473686
64,E01000068,Barking and Dagenham 016E,1570,POINT (0.0879456582324805 51.54263602644401),64,0.08794565823248048,51.54263602644401
65,E01000069,Barking and Dagenham 011C,1921,POINT (0.0999957578761915 51.54304058800373),65,0.09999575787619147,51.54304058800373
66,E01000070,Barking and Dagenham 011D,2226,POINT (0.0921377611206694 51.54490211726946),66,0.09213776112066939,51.54490211726946
67,E01000071,Barking and Dagenham 011E,2660,POINT (0.0996788599661581 51.53978547046496),67,0.09967885996615809,51.53978547046496
68,E01000072,Barking and Dagenham 017E,2152,POINT (0.1109533533241082 51.54212634629252),68,0.1109533533241082,51.54212634629252
69,E01000073,Barking and Dagenham 012B,1742,POINT (0.1137904181769834 51.54675885059936),69,0.11379041817698345,51.54675885059936
70,E01000074,Barking and Dagenham 012C,1648,POINT (0.1206958573180404 51.545848455338685),70,0.1206958573180404,51.545848455338685
71,E01000075,Barking and Dagenham 012D,1903,POINT (0.1273569699872958 51.54302803389252),71,0.12735696998729576,51.54302803389252
72,E01000076,Barking and Dagenham 012E,2161,POINT (0.1201760093960873 51.54123442469515),72,0.12017600939608726,51.54123442469515
73,E01000077,Barking and Dagenham 008F,1586,POINT (0.1258294537600902 51.54960459360118),73,0.12582945376009022,51.54960459360118
74,E01000078,Barking and Dagenham 007B,1908,POINT (0.1324556168482356 51.55219731978336),74,0.13245561684823565,51.55219731978336
75,E01000079,Barking and Dagenham 009E,1779,POINT (0.1383942327002726 51.54640724639197),75,0.13839423270027257,51.54640724639197
76,E01000080,Barking and Dagenham 007C,1622,POINT (0.1318577079769544 51.54807639462981),76,0.13185770797695437,51.54807639462981
77,E01000081,Barking and Dagenham 007D,1883,POINT (0.1385101165449718 51.550213255744666),77,0.13851011654497175,51.550213255744666
78,E01000082,Barking and Dagenham 007E,2088,POINT (0.1386045290561242 51.5544637339582),78,0.1386045290561242,51.5544637339582
79,E01000083,Barking and Dagenham 007F,1956,POINT (0.1283771927218329 51.5535226943686),79,0.12837719272183287,51.5535226943686
80,E01000084,Barking and Dagenham 013D,1414,POINT (0.1451722364297466 51.53986479042202),80,0.14517223642974655,51.53986479042202
81,E01000085,Barking and Dagenham 013E,1880,POINT (0.150378372242673 51.53789217799695),81,0.15037837224267295,51.53789217799695
82,E01000086,Barking and Dagenham 013F,1471,POINT (0.1458273548395339 51.53684632770201),82,0.1458273548395339,51.53684632770201
83,E01000087,Barking and Dagenham 020B,1637,POINT (0.150156450194536 51.53005390613276),83,0.15015645019453597,51.53005390613276
84,E01000088,Barking and Dagenham 020C,2129,POINT (0.1555145409987866 51.53385101613422),84,0.15551454099878662,51.53385101613422
85,E01000089,Barking and Dagenham 020D,1879,POINT (0.1603793949473186 51.53069713341616),85,0.1603793949473186,51.53069713341616
86,E01000090,Barking and Dagenham 020E,1750,POINT (0.1545910696228342 51.521226688316354),86,0.15459106962283425,51.521226688316354
87,E01000091,Barking and Dagenham 022A,2080,POINT (0.1088971841942735 51.5272215010146),87,0.1088971841942735,51.5272215010146
88,E01000092,Barking and Dagenham 019E,6055,POINT (0.1074287809127851 51.52192211944248),88,0.10742878091278511,51.52192211944248
89,E01000093,Barking and Dagenham 022B,1789,POINT (0.1026479718979057 51.52928489815903),89,0.10264797189790566,51.52928489815903
90,E01000094,Barking and Dagenham 022C,2326,POINT (0.1155441234232591 51.52357112686177),90,0.11554412342325909,51.52357112686177
91,E01000095,Barking and Dagenham 018E,1856,POINT (0.1348982300955698 51.52630938618376),91,0.13489823009556984,51.52630938618376
92,E01000096,Barking and Dagenham 022D,1858,POINT (0.1163644165422777 51.531717899144),92,0.11636441654227767,51.531717899144
93,E01000097,Barking and Dagenham 023C,1800,POINT (0.1291036212973352 51.56372944989158),93,0.12910362129733524,51.56372944989158
94,E01000098,Barking and Dagenham 023D,1805,POINT (0.1270914757285884 51.56087919657528),94,0.12709147572858837,51.56087919657528
95,E01000099,Barking and Dagenham 023E,2487,POINT (0.1335458323625912 51.56304642939243),95,0.13354583236259124,51.56304642939243
96,E01000100,Barking and Dagenham 004B,1779,POINT (0.1386276094773026 51.55911516838856),96,0.13862760947730263,51.55911516838856
97,E01000101,Barking and Dagenham 004C,1569,POINT (0.1441663417380714 51.55924006879749),97,0.14416634173807144,51.55924006879749
98,E01000102,Barking and Dagenham 007G,1539,POINT (0.1332141883064039 51.55714956828543),98,0.1332141883064039,51.55714956828543
99,E01000103,Barking and Dagenham 014A,1721,POINT (0.1647590306871224 51.53460653219156),99,0.16475903068712244,51.53460653219156
